Year,Month,Geopolitical_Zone,State,CO2_ppm,Source,CO2_Growth_Rate_ppm_per_year
2017,1,South-East,Anambra,371.42,interpolated,
2017,2,South-East,Anambra,371.42,interpolated,
2017,3,South-East,Anambra,371.42,interpolated,
2017,4,South-East,Anambra,371.42,interpolated,
2017,5,South-East,Anambra,371.42,interpolated,
2017,6,South-East,Anambra,371.42,interpolated,
2017,7,South-East,Anambra,371.42,interpolated,
2017,8,South-East,Anambra,371.42,interpolated,
2017,9,South-East,Anambra,371.42,interpolated,
2017,10,South-East,Anambra,371.42,interpolated,
2017,11,South-East,Anambra,371.42,interpolated,
2017,12,South-East,Anambra,371.42,interpolated,
2018,1,South-East,Anambra,371.42,interpolated,
2018,2,South-East,Anambra,371.42,interpolated,
2018,3,South-East,Anambra,371.42,interpolated,
2018,4,South-East,Anambra,371.42,interpolated,
