Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2003","2003","3050","FAO TIER 1","kt","28.1648","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2004","2004","3050","FAO TIER 1","kt","19.0323","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2005","2005","3050","FAO TIER 1","kt","17.4201","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2006","2006","3050","FAO TIER 1","kt","17.5778","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2007","2007","3050","FAO TIER 1","kt","19.5053","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2008","2008","3050","FAO TIER 1","kt","16.9842","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2009","2009","3050","FAO TIER 1","kt","7.5727","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2010","2010","3050","FAO TIER 1","kt","6.7777","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2011","2011","3050","FAO TIER 1","kt","25.7356","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2012","2012","3050","FAO TIER 1","kt","21.3051","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2013","2013","3050","FAO TIER 1","kt","23.1981","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2014","2014","3050","FAO TIER 1","kt","24.562","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2015","2015","3050","FAO TIER 1","kt","25.3157","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2016","2016","3050","FAO TIER 1","kt","24.7781","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2017","2017","3050","FAO TIER 1","kt","23.3253","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2018","2018","3050","FAO TIER 1","kt","24.7108","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2019","2019","3050","FAO TIER 1","kt","25.2623","E","Estimated value",""
"GT","Emissions totals","566","Nigeria","7273","Emissions (CO2)","6506","Food Packaging","2020","2020","3050","FAO TIER 1","kt","25.3968","E","Estimated value",""
