zone,year,month,soil_moisture_m3m3
South East,2008,8,0.34304308666666666
South East,2008,9,0.34540805555555554
South East,2008,10,0.33118926666666665
South East,2008,11,0.29003901360544215
South East,2008,12,0.25118757333333336
South East,2009,1,0.2400933489932886
South East,2009,2,0.241800776119403
South East,2009,3,0.24955870469798658
South East,2009,4,0.29625922857142856
South East,2009,5,0.32683593846153847
South East,2009,6,0.3295741944444444
South East,2009,7,0.3382383611111111
South East,2009,8,0.3417936170212766
South East,2009,9,0.3389701838235294
South East,2009,10,0.3430203216783217
South East,2009,11,0.3131444130434783
South East,2009,12,0.23895101428571427
South East,2010,1,0.2065517602739726
South East,2010,2,0.22493014179104479
South East,2010,3,0.23557810273972601
South East,2010,4,0.28148855633802816
South East,2010,5,0.3190577482993197
South East,2010,6,0.3346585724137931
South East,2010,7,0.33312487671232877
South East,2010,8,0.33573765562913904
South East,2010,9,0.33677460689655175
South East,2010,10,0.3386008137931035
South East,2010,11,0.3105670821917808
South East,2010,12,0.23987401333333333
South East,2011,1,0.20930570198675497
South East,2011,2,0.23574125547445254
South East,2011,3,0.25677982352941175
South East,2011,4,0.2841794133333333
South East,2011,5,0.3272584178082192
South East,2011,6,0.3311213866666667
South East,2011,7,0.3353250718954248
South East,2011,8,0.3412666209150327
South East,2011,9,0.3405872925170068
South East,2011,10,0.3372697207792208
South East,2011,11,0.2947485503355705
South East,2011,12,0.2330095947712418
South East,2012,1,0.20961467320261437
South East,2012,2,0.23550809352517985
South East,2012,3,0.2405203691275168
South East,2012,4,0.29885157534246576
South East,2012,5,0.3232255629139073
South East,2012,6,0.3332425972222222
South East,2012,7,0.33837778571428573
South East,2012,8,0.3364194569536424
South East,2012,9,0.341216277027027
South East,2012,10,0.33768885064935067
South East,2012,11,0.3105729861111111
South East,2012,12,0.2398251006711409
South East,2013,1,0.22679417999999998
South East,2013,2,0.22796482962962963
South East,2013,3,0.25137556493506497
South East,2013,4,0.2935702344827586
South East,2013,5,0.32250168421052633
South East,2013,6,0.3303036081081081
South East,2013,7,0.33368081045751635
South East,2013,8,0.32922648051948056
South East,2013,9,0.3380111879194631
South East,2013,10,0.3308293612903226
South East,2013,11,0.3021407651006711
South East,2013,12,0.27231485806451616
South East,2014,1,0.2347745
South East,2014,2,0.22339919565217392
South East,2014,3,0.2771397077922078
South East,2014,4,0.29665288
South East,2014,5,0.32812103896103895
South East,2014,6,0.33165503333333335
South East,2014,7,0.3298657987012987
South East,2014,8,0.3379963246753247
South East,2014,9,0.34061322
South East,2014,10,0.33367988387096775
South East,2014,11,0.31092652
South East,2014,12,0.24809001290322583
South East,2015,1,0.2173649411764706
South East,2015,2,0.23603679411764708
South East,2015,3,0.26636175483870966
South East,2015,4,0.28383433783783785
South East,2015,5,0.30951283766233767
South East,2015,6,0.32858362666666663
South East,2015,7,0.33040066451612904
South East,2015,8,0.3364793766233766
South East,2015,9,0.342027322147651
South East,2015,10,0.3331736993464052
South East,2015,11,0.30246303333333335
South East,2015,12,0.231910535483871
South East,2016,1,0.20143744155844157
South East,2016,2,0.18808993055555556
South East,2016,3,0.2701289210526316
South East,2016,4,0.28402501333333335
South East,2016,5,0.3127825935483871
South East,2016,6,0.32456745205479454
South East,2016,7,0.3326659066666667
South East,2016,8,0.33970470967741934
South East,2016,9,0.33799558389261747
South East,2016,10,0.3277593961038961
South East,2016,11,0.2846238493150685
South East,2016,12,0.2371992
South East,2017,1,0.2161059483870968
South East,2017,2,0.19153345
South East,2017,3,0.2176455779220779
South East,2017,4,0.28716447972972975
South East,2017,5,0.31147851948051947
South East,2017,6,0.3254815466666667
South East,2017,7,0.3310452857142857
South East,2017,8,0.3388187142857143
South East,2017,9,0.33520956375838923
South East,2017,10,0.32732297402597405
South East,2017,11,0.2926963533333333
South East,2017,12,0.23333989677419356
South East,2018,1,0.19301947402597402
South East,2018,2,0.21858313669064747
South East,2018,3,0.24086506493506496
South East,2018,4,0.2881681543624161
South East,2018,5,0.30966751315789476
South East,2018,6,0.3262309597315436
South East,2018,7,0.3358541948051948
South East,2018,8,0.33185324183006537
South East,2018,9,0.3390002108843537
South East,2018,10,0.3299360322580645
South East,2018,11,0.29723646000000004
South East,2018,12,0.22189463636363635
South East,2019,1,0.201759
South East,2019,2,0.22298192857142857
South East,2019,3,0.25537532258064516
South East,2019,4,0.27890748979591834
South East,2019,5,0.3093613612903226
South East,2019,6,0.3352493266666667
South East,2019,7,0.3372036193548387
South East,2019,8,0.33590530519480516
South East,2019,9,0.33597140939597314
South East,2019,10,0.3337489411764706
South East,2019,11,0.316747288590604
South East,2019,12,0.2348911806451613
South East,2020,1,0.18818433548387098
South East,2020,2,0.17672606896551724
South East,2020,3,0.23944114193548388
South East,2020,4,0.2952937666666667
South East,2020,5,0.31520433986928104
South East,2020,6,0.32919857333333336
South East,2020,7,0.33703994193548387
South East,2020,8,0.31019546451612906
South East,2020,9,0.33732142666666665
South East,2020,10,0.3342972467532468
South East,2020,11,0.2714407933333333
South East,2020,12,0.2175679935483871
South East,2021,1,0.18497336774193548
South East,2021,2,0.17856640000000001
South East,2021,3,0.2228319675324675
South East,2021,4,0.2696153866666666
South East,2021,5,0.3076118961038961
South East,2021,6,0.32675525333333333
South East,2021,7,0.32492810322580645
South East,2021,8,0.33590430322580644
South East,2021,9,0.3338742684563758
South East,2021,10,0.3337026103896104
South East,2021,11,0.32157904000000004
South East,2021,12,0.24105789032258065
South East,2022,1,0.21414872258064518
South East,2022,2,0.1918950724637681
South East,2022,3,0.23204029677419355
South East,2022,4,0.2905878859060403
South East,2022,5,0.3281072580645161
South East,2022,6,0.33275362666666664
South East,2022,7,0.3308009483870968
South East,2022,8,0.33315459999999997
South East,2022,9,0.3358347933333333
South East,2022,10,0.33868404575163397
South East,2022,11,0.2814487651006711
South East,2022,12,0.22176473548387096
South East,2023,1,0.19046378064516128
South East,2023,2,0.19337198550724638
South East,2023,3,0.26121659354838705
South East,2023,4,0.285043610738255
South East,2023,5,0.3200526732026144
South East,2023,6,0.3408236912751678
South East,2023,7,0.3358122467532467
South East,2023,8,0.33520278431372547
South East,2023,9,0.34247634228187923
South East,2023,10,0.3385950522875817
South East,2023,11,0.3300883108108108
South East,2023,12,0.26092448701298704
South South,2000,1,0.24466954545454545
South South,2000,2,0.193527
South South,2000,3,0.2524040909090909
South South,2000,4,0.26002243902439026
South South,2000,5,0.2858314074074074
South South,2000,6,0.33061095652173916
South South,2000,7,0.33650050000000004
South South,2000,8,0.33211623076923075
South South,2000,9,0.3422253125
South South,2000,10,0.3529544666666667
South South,2000,11,0.30033072222222224
South South,2000,12,0.262447625
South South,2001,1,0.234430375
South South,2001,2,0.24489575
South South,2001,3,0.2543792631578947
South South,2001,4,0.293993
South South,2001,5,0.31379466666666667
South South,2001,6,0.327039
South South,2001,7,0.31688746153846153
South South,2001,8,0.33065864285714286
South South,2001,9,0.33019946666666666
South South,2001,10,0.3467645714285714
South South,2001,11,0.2953091666666667
South South,2001,12,0.2760993
South South,2002,1,0.25873666666666667
South South,2002,2,0.26303966666666667
South South,2002,3,0.28115413636363634
South South,2002,4,0.30099848648648647
South South,2002,5,0.2942268571428572
South South,2002,6,0.3151120384615385
South South,2002,7,0.3197926111111111
South South,2002,8,0.3231221
South South,2002,9,0.31463823529411766
South South,2002,10,0.31635340298507464
South South,2002,11,0.3011929677419355
South South,2002,12,0.27719213725490194
South South,2003,1,0.27374364
South South,2003,2,0.2733061025641026
South South,2003,3,0.2768958292682927
South South,2003,4,0.2782346222222222
South South,2003,5,0.29265237209302325
South South,2003,6,0.30617884444444443
South South,2003,7,0.3193092127659575
South South,2003,8,0.3259366842105263
South South,2003,9,0.3216223275862069
South South,2003,10,0.3230844576271187
South South,2003,11,0.3044481111111111
South South,2003,12,0.289342775
South South,2004,1,0.27896272093023256
South South,2004,2,0.2773524857142857
South South,2004,3,0.27269907407407407
South South,2004,4,0.28522371929824564
South South,2004,5,0.29488932558139536
South South,2004,6,0.30405859999999996
South South,2004,7,0.3211944255319149
South South,2004,8,0.3238843846153846
South South,2004,9,0.3252276470588235
South South,2004,10,0.3161983275862069
South South,2004,11,0.3000462954545455
South South,2004,12,0.28667543902439024
South South,2005,1,0.2808877222222222
South South,2005,2,0.2692128235294118
South South,2005,3,0.27825097368421053
South South,2005,4,0.28190829545454543
South South,2005,5,0.29282096874999997
South South,2005,6,0.3102623695652174
South South,2005,7,0.3250285652173913
South South,2005,8,0.3203340612244898
South South,2005,9,0.32306621999999996
South South,2005,10,0.30946518333333334
South South,2005,11,0.2965423157894737
South South,2005,12,0.2915108064516129
South South,2006,1,0.2797106222222222
South South,2006,2,0.27349945161290323
South South,2006,3,0.28197744444444445
South South,2006,4,0.29316953333333334
South South,2006,5,0.30347276315789473
South South,2006,6,0.3034293157894737
South South,2006,7,0.30531429729729725
South South,2006,8,0.30803814285714287
South South,2006,9,0.3220071034482758
South South,2006,10,0.3195052413793103
South South,2006,11,0.30215504444444446
South South,2006,12,0.28811759459459463
South South,2007,1,0.24952486407766988
South South,2007,2,0.24074802597402598
South South,2007,3,0.26051642708333334
South South,2007,4,0.28760908860759493
South South,2007,5,0.28700426829268294
South South,2007,6,0.30409894252873565
South South,2007,7,0.3120977411764706
South South,2007,8,0.3047890238095238
South South,2007,9,0.3148055730337079
South South,2007,10,0.3121901775700935
South South,2007,11,0.2947434157303371
South South,2007,12,0.298009614678899
South South,2008,1,0.26862114285714284
South South,2008,2,0.23754834567901237
South South,2008,3,0.28125931818181815
South South,2008,4,0.284082
South South,2008,5,0.2905187441860465
South South,2008,6,0.29546124
South South,2008,7,0.30865157142857147
South South,2008,8,0.3098143555555556
South South,2008,9,0.31821795833333333
South South,2008,10,0.30438701904761906
South South,2008,11,0.2862173586956522
South South,2008,12,0.2883342962962963
South South,2009,1,0.26683399082568804
South South,2009,2,0.2546681038961039
South South,2009,3,0.28105787368421054
South South,2009,4,0.27678994520547945
South South,2009,5,0.293316698630137
South South,2009,6,0.30511402857142855
South South,2009,7,0.3186130111111111
South South,2009,8,0.3310138351648352
South South,2009,9,0.3308960112359551
South South,2009,10,0.32557951041666666
South South,2009,11,0.3077721
South South,2009,12,0.27505311111111114
South South,2010,1,0.25911613684210527
South South,2010,2,0.24972836507936508
South South,2010,3,0.2728266739130435
South South,2010,4,0.27932760256410255
South South,2010,5,0.29051859210526315
South South,2010,6,0.30660182716049383
South South,2010,7,0.3087743176470588
South South,2010,8,0.3122149213483146
South South,2010,9,0.3185490795454546
South South,2010,10,0.32101846938775513
South South,2010,11,0.29633917045454544
South South,2010,12,0.2724286132075472
South South,2011,1,0.24911682857142858
South South,2011,2,0.241731
South South,2011,3,0.24740676470588235
South South,2011,4,0.26616261904761906
South South,2011,5,0.2949394210526316
South South,2011,6,0.30656543877551024
South South,2011,7,0.31692770297029704
South South,2011,8,0.31336949999999997
South South,2011,9,0.3130106851851852
South South,2011,10,0.3029334411764706
South South,2011,11,0.2846956585365854
South South,2011,12,0.26146366666666665
South South,2012,1,0.2456207
South South,2012,2,0.26350636470588235
South South,2012,3,0.25294476136363636
South South,2012,4,0.2755133924050633
South South,2012,5,0.2898844731182796
South South,2012,6,0.3008288295454546
South South,2012,7,0.3115319603960396
South South,2012,8,0.3111655689655172
South South,2012,9,0.3095739266055046
South South,2012,10,0.3088455775862069
South South,2012,11,0.29883566055045874
South South,2012,12,0.27938385454545456
South South,2013,1,0.26343856756756756
South South,2013,2,0.25489391304347825
South South,2013,3,0.28586492920353984
South South,2013,4,0.28451753773584904
South South,2013,5,0.29478227835051546
South South,2013,6,0.31385138888888886
South South,2013,7,0.3176223909090909
South South,2013,8,0.3089413428571428
South South,2013,9,0.30833100917431194
South South,2013,10,0.30960385
South South,2013,11,0.30991331304347824
South South,2013,12,0.3036912950819672
South South,2014,1,0.2851700731707317
South South,2014,2,0.2773028476190476
South South,2014,3,0.3012464876033058
South South,2014,4,0.30489272881355933
South South,2014,5,0.31412641803278685
South South,2014,6,0.32262470000000004
South South,2014,7,0.32177394262295084
South South,2014,8,0.3251317438016529
South South,2014,9,0.329849125
South South,2014,10,0.32061387603305785
South South,2014,11,0.3087723697478992
South South,2014,12,0.28326657723577237
South South,2015,1,0.25459315254237286
South South,2015,2,0.27001683783783786
South South,2015,3,0.28198462096774196
South South,2015,4,0.2847803050847458
South South,2015,5,0.29663856302521013
South South,2015,6,0.30974273504273503
South South,2015,7,0.3194906611570248
South South,2015,8,0.3219479674796748
South South,2015,9,0.3259364083333333
South South,2015,10,0.3173741129032258
South South,2015,11,0.2993327
South South,2015,12,0.25166150819672134
South South,2016,1,0.23312948387096774
South South,2016,2,0.2276394210526316
South South,2016,3,0.27549766935483866
South South,2016,4,0.2801179745762712
South South,2016,5,0.2927380655737705
South South,2016,6,0.30868083050847456
South South,2016,7,0.3202031166666667
South South,2016,8,0.3219735161290323
South South,2016,9,0.32318766386554626
South South,2016,10,0.3040143140495868
South South,2016,11,0.28671559166666666
South South,2016,12,0.26478584033613445
South South,2017,1,0.24135883333333333
South South,2017,2,0.230048738317757
South South,2017,3,0.2584721900826446
South South,2017,4,0.2841295391304348
South South,2017,5,0.2916491229508197
South South,2017,6,0.31146904201680675
South South,2017,7,0.31831293548387096
South South,2017,8,0.3224245161290323
South South,2017,9,0.31457419166666667
South South,2017,10,0.30551266129032256
South South,2017,11,0.28320045
South South,2017,12,0.25539796774193546
South South,2018,1,0.22982295121951218
South South,2018,2,0.2488789099099099
South South,2018,3,0.2749693606557377
South South,2018,4,0.2832558151260504
South South,2018,5,0.2841839666666666
South South,2018,6,0.3098307983193277
South South,2018,7,0.3158517024793388
South South,2018,8,0.31412436974789915
South South,2018,9,0.32059145
South South,2018,10,0.3125060243902439
South South,2018,11,0.2896797647058823
South South,2018,12,0.2496768275862069
South South,2019,1,0.23901580672268907
South South,2019,2,0.24619393333333334
South South,2019,3,0.27081713445378147
South South,2019,4,0.27994488983050847
South South,2019,5,0.29547089915966385
South South,2019,6,0.3118159661016949
South South,2019,7,0.3217288760330579
South South,2019,8,0.31848685245901637
South South,2019,9,0.31790151666666666
South South,2019,10,0.32103381300813005
South South,2019,11,0.3021372564102564
South South,2019,12,0.2658971391304348
South South,2020,1,0.2309473539823009
South South,2020,2,0.20456916494845362
South South,2020,3,0.24300089285714285
South South,2020,4,0.28267512037037035
South South,2020,5,0.2892112018348624
South South,2020,6,0.3109608017241379
South South,2020,7,0.3243352601626016
South South,2020,8,0.295839407079646
South South,2020,9,0.3150612711864407
South South,2020,10,0.31907528571428573
South South,2020,11,0.29185199145299145
South South,2020,12,0.2625978275862069
South South,2021,1,0.24301872807017544
South South,2021,2,0.22463473737373735
South South,2021,3,0.25274791150442477
South South,2021,4,0.27112093396226417
South South,2021,5,0.28868581188118814
South South,2021,6,0.3097641754385965
South South,2021,7,0.31189094915254234
South South,2021,8,0.31756236666666665
South South,2021,9,0.3148707478260869
South South,2021,10,0.3019966722689076
South South,2021,11,0.3009419090909091
South South,2021,12,0.2677668728813559
South South,2022,1,0.24546791525423728
South South,2022,2,0.22200440404040403
South South,2022,3,0.2576571166666667
South South,2022,4,0.28716926315789476
South South,2022,5,0.30244915702479336
South South,2022,6,0.3160089491525424
South South,2022,7,0.31624747967479677
South South,2022,8,0.3092273821138211
South South,2022,9,0.3186665916666667
South South,2022,10,0.3307762258064516
South South,2022,11,0.2968893813559322
South South,2022,12,0.25361099145299143
South South,2023,1,0.2330287899159664
South South,2023,2,0.2328212475247525
South South,2023,3,0.2716144426229508
South South,2023,4,0.2894483504273504
South South,2023,5,0.30374176229508193
